id,bank,close_price,high_price,history,low_price,open_price,volume
304,"Garanti BBVA",0,0,"Mar 9, 2024",0,0,0
305,"Garanti BBVA",0,0,"Mar 10, 2024",0,0,0
306,"Garanti BBVA",63,66.6,"Mar 11, 2024",63,66.4,48191463
307,"Garanti BBVA",64.25,65.45,"Mar 12, 2024",62.55,63.15,45364832
308,"Garanti BBVA",63.25,64.95,"Mar 13, 2024",61.5,64.3,42112367
309,"Garanti BBVA",61.65,64.35,"Mar 14, 2024",60.85,63.55,25463829
310,"Garanti BBVA",60.9,62.6,"Mar 15, 2024",60.55,61.5,19105710
311,"Garanti BBVA",0,0,"Mar 16, 2024",0,0,0
312,"Garanti BBVA",0,0,"Mar 17, 2024",0,0,0
313,"Garanti BBVA",61.35,62.85,"Mar 18, 2024",60.7,61.4,20322939
314,"Garanti BBVA",63.8,64.1,"Mar 19, 2024",60.9,61.35,33378342
315,"Garanti BBVA",64.2,64.75,"Mar 20, 2024",63.2,63.55,32009831
316,"Garanti BBVA",67.95,68.5,"Mar 21, 2024",64.4,64.65,70194062
317,"Garanti BBVA",68.8,70.5,"Mar 22, 2024",67.6,67.8,40240747
318,"Garanti BBVA",0,0,"Mar 23, 2024",0,0,0
319,"Garanti BBVA",0,0,"Mar 24, 2024",0,0,0
320,"Garanti BBVA",68.95,72,"Mar 25, 2024",68.35,68.9,49817005
321,"Garanti BBVA",68.7,70.9,"Mar 26, 2024",68.45,69.25,36699068
322,"Garanti BBVA",68.7,69.5,"Mar 27, 2024",67.65,68.9,24146763
323,"Garanti BBVA",71.5,72.4,"Mar 28, 2024",69.05,69.05,43756272
324,"Garanti BBVA",64.75,65.85,"Feb 1, 2024",63.45,63.45,30611971
325,"Garanti BBVA",63.9,65.7,"Feb 2, 2024",63.65,64.6,24516446
326,"Garanti BBVA",0,0,"Feb 3, 2024",0,0,0
327,"Garanti BBVA",0,0,"Feb 4, 2024",0,0,0
328,"Garanti BBVA",64.95,66.45,"Feb 5, 2024",64.25,65.2,25716069
329,"Garanti BBVA",65.05,65.7,"Feb 6, 2024",64.1,64.95,39001668
330,"Garanti BBVA",64,65.65,"Feb 7, 2024",64,65.2,33900071
331,"Garanti BBVA",64.3,65.15,"Feb 8, 2024",64,64,25022297
332,"Garanti BBVA",64.45,65.25,"Feb 9, 2024",63.15,64.4,29880133
333,"Garanti BBVA",0,0,"Feb 10, 2024",0,0,0
334,"Garanti BBVA",0,0,"Feb 11, 2024",0,0,0
335,"Garanti BBVA",65.85,65.95,"Feb 12, 2024",64.25,65,34156483
336,"Garanti BBVA",64.65,66.65,"Feb 13, 2024",64.65,66,39231796
337,"Garanti BBVA",64.05,64.95,"Feb 14, 2024",63.15,64.75,34286513
338,"Garanti BBVA",65.6,66.15,"Feb 15, 2024",64.25,64.25,36930585
339,"Garanti BBVA",65.9,66.45,"Feb 16, 2024",65.25,65.7,24075860
340,"Garanti BBVA",0,0,"Feb 17, 2024",0,0,0
341,"Garanti BBVA",0,0,"Feb 18, 2024",0,0,0
342,"Garanti BBVA",66.7,68.3,"Feb 19, 2024",66.3,66.4,44089893
343,"Garanti BBVA",68,68.5,"Feb 20, 2024",66.3,66.8,42317867
344,"Garanti BBVA",68.4,69.6,"Feb 21, 2024",67.55,68.3,32293760
345,"Garanti BBVA",65.95,69.35,"Feb 22, 2024",65.5,68.9,73537487
346,"Garanti BBVA",66.35,66.7,"Feb 23, 2024",65.4,66.05,43386925
347,"Garanti BBVA",0,0,"Feb 24, 2024",0,0,0
348,"Garanti BBVA",0,0,"Feb 25, 2024",0,0,0
349,"Garanti BBVA",65,66.45,"Feb 26, 2024",64.3,66.4,31945009
350,"Garanti BBVA",63.5,65.5,"Feb 27, 2024",63.5,65.15,23868328
351,"Garanti BBVA",62.55,64.2,"Feb 28, 2024",62.55,63.6,22093502
352,"Garanti BBVA",63.1,63.65,"Feb 29, 2024",62.35,62.8,26890578
353,"Garanti BBVA",58.85,60.15,"Jan 2, 2024",58.25,59.3,16881291
354,"Garanti BBVA",56.5,59.15,"Jan 3, 2024",56.3,58.6,20141213
355,"Garanti BBVA",57.6,57.75,"Jan 4, 2024",55,56.4,31275024
356,"Garanti BBVA",57.4,58,"Jan 5, 2024",56.55,57.7,22935879
357,"Garanti BBVA",0,0,"Jan 6, 2024",0,0,0
358,"Garanti BBVA",0,0,"Jan 7, 2024",0,0,0
359,"Garanti BBVA",62.1,62.75,"Jan 8, 2024",58.3,58.3,62599601
360,"Garanti BBVA",62.6,63.7,"Jan 9, 2024",61.25,62.4,60396241
361,"Garanti BBVA",63.8,64.45,"Jan 10, 2024",62.35,62.5,41187587
362,"Garanti BBVA",65.6,68.7,"Jan 11, 2024",64,64.25,48524495
363,"Garanti BBVA",67.8,69.2,"Jan 12, 2024",64.65,65.4,66351606
364,"Garanti BBVA",0,0,"Jan 13, 2024",0,0,0
365,"Garanti BBVA",0,0,"Jan 14, 2024",0,0,0
366,"Garanti BBVA",66.5,67.65,"Jan 15, 2024",66.15,67.05,30258890
367,"Garanti BBVA",63.75,67.35,"Jan 16, 2024",63.4,66.4,41142548
368,"Garanti BBVA",63.4,64.5,"Jan 17, 2024",62.9,63.5,29536066
369,"Garanti BBVA",62.95,65.3,"Jan 18, 2024",62.8,64.95,28400991
370,"Garanti BBVA",63.55,64.05,"Jan 19, 2024",61.9,63.25,31685876
371,"Garanti BBVA",0,0,"Jan 20, 2024",0,0,0
372,"Garanti BBVA",0,0,"Jan 21, 2024",0,0,0
373,"Garanti BBVA",62.4,63.25,"Jan 22, 2024",61.65,63.2,27428721
374,"Garanti BBVA",60.25,63.35,"Jan 23, 2024",59.85,63,39476717
375,"Garanti BBVA",62.3,63.65,"Jan 24, 2024",60.3,60.65,46864332
